Crude Bow	3 to 10
Short Bow	4 to 11
Long Bow	6 to 22
Composite Bow	11 to 25
Recurve Bow	12 to 35
Bone Bow	11 to 33
Royal Bow	9 to 38
Death Bow	20 to 52
Grove Bow	13 to 38
Decurve Bow	15 to 59
Compound Bow	24 to 55
Sniper Bow	22 to 67
Ivory Bow	19 to 57
Highborn Bow	15 to 62
Decimation Bow	30 to 80
Thicket Bow	19 to 58
Citadel Bow	21 to 86
Ranger Bow	30 to 70
Maraketh Bow	26 to 79
Spine Bow	24 to 71
Imperial Bow	17 to 68
Harbinger Bow	30 to 80
Nailed Fist	4 to 10
Sharktooth Claw	7 to 18
Awl	6 to 21
Cat's Paw	11 to 20
Blinder	11 to 30
Timeworn Claw	17 to 44
Sparkling Claw	13 to 34
Fright Claw	10 to 41
Thresher Claw	22 to 58
Gouger	15 to 51
Tiger's Paw	22 to 41
Gut Ripper	20 to 54
Prehistoric Claw	28 to 74
Noble Claw	20 to 53
Eagle Claw	16 to 63
Great White Claw	33 to 86
Throat Stabber	21 to 73
Hellion's Paw	29 to 54
Eye Gouger	26 to 68
Vaal Claw	34 to 88
Imperial Claw	23 to 61
Terror Claw	17 to 68
Glass Shank	3 to 11
Skinning Knife	4 to 16
Carving Knife	2 to 20
Stiletto	5 to 21
Boot Knife	7 to 29
Copper Kris	9 to 36
Skean	9 to 35
Imp Dagger	12 to 48
Flaying Knife	14 to 55
Butcher Knife	6 to 54
Poignard	11 to 45
Boot Blade	14 to 55
Golden Kris	16 to 64
Royal Skean	14 to 57
Fiend Dagger	19 to 75
Gutting Knife	21 to 82
Slaughter Knife	9 to 78
Ambusher	16 to 63
Ezomyte Dagger	18 to 72
Platinum Kris	20 to 79
Imperial Skean	17 to 67
Demon Dagger	21 to 83
Rusted Hatchet	5 to 10
Jade Hatchet	9 to 14
Boarding Axe	9 to 16
Cleaver	12 to 35
Broad Axe	17 to 31
Arming Axe	12 to 35
Decorative Axe	25 to 47
Spectral Axe	27 to 45
Jasper Axe	29 to 45
Tomahawk	22 to 41
Wrist Chopper	25 to 74
War Axe	31 to 58
Chest Splitter	20 to 61
Ceremonial Axe	41 to 76
Wraith Axe	41 to 68
Karui Axe	43 to 67
Siege Axe	32 to 59
Reaver Axe	34 to 101
Butcher Axe	40 to 74
Vaal Hatchet	25 to 74
Royal Axe	47 to 87
Infernal Axe	45 to 75
Driftwood Club	6 to 8
Tribal Club	8 to 13
Spiked Club	11 to 14
Stone Hammer	15 to 28
War Hammer	12 to 28
Bladed Mace	19 to 32
Ceremonial Mace	28 to 36
Dream Mace	19 to 39
